bigram,total_count,n_units
in many,852,407
policy accommodation,850,325
i hope,848,307
readings on,848,414
see that,848,322
too much,847,320
of potential,847,362
to grow,846,357
capital spending,846,294
a small,845,391
six months,845,301
the country,844,355
we also,843,299
path for,842,362
moved up,841,374
including the,840,438
price increases,840,288
closer to,840,349
months and,840,449
cost of,840,342
most recent,839,337
a substantial,837,384
the bank,836,307
away from,836,312
forecast period,836,263
that said,835,303
the only,831,329
strength of,831,371
not yet,830,387
low inflation,830,319
time i,829,326
expectations of,829,426
the range,829,336
a modest,827,388
the context,827,406
pointed out,827,356
market is,826,298
the information,824,522
inflation outlook,820,351
a change,820,350
comfortable with,820,280
growth has,818,262
net exports,818,322
years and,818,358
beginning to,817,334
we continue,817,271
to give,817,316
to reduce,816,389
to try,814,293
to use,812,296
staff forecast,812,373
downside risk,812,313
forecast and,808,303
in february,808,194
the beginning,807,371
you look,807,233
result of,807,381
suggesting that,806,433
of capital,806,341
question of,805,313
the reason,805,314
we saw,804,284
year in,803,347
the expected,803,405
april of,803,24
participation rate,802,288
the uncertainty,802,344
measure of,802,352
the basis,801,321
well below,800,361
the members,799,277
pick up,798,366
your recommendation,798,91
rates in,797,400
in oil,796,280
job growth,795,253
lower bound,793,207
thought that,792,388
the central,792,259
the short,791,299
raise the,789,373
in place,789,334
a risk,789,334
growth rate,788,295
the number,787,371
president evans,786,195
about inflation,786,292
prices have,784,250
focus on,784,317
the march,783,230
pce price,783,286
a major,782,322
can see,782,267
seen as,781,431
further in,781,373
course of,780,407
way that,779,293
my forecast,777,192
housing market,777,300
inflation the,777,344
of people,777,306
the december,777,231
concern about,776,398
this committee,776,281
recent years,776,362
of participants,775,210
percent inflation,774,322
even more,773,329
our inflation,773,256
the process,772,355
percent the,771,379
output growth,771,334
toward the,771,435
and others,771,313
few months,769,332
now and,766,301
a while,766,327
a new,765,323
the model,764,228
rate path,764,201
sure that,763,291
coming months,763,431
for real,763,327
sales of,762,356
implications for,762,381
a rate,762,387
the bluebook,762,197
inflation i,761,295
to achieve,760,335
judged that,760,298
dual mandate,759,277
consumer price,758,354
expect the,757,278
headline inflation,757,240
very strong,755,316
source of,754,339
past few,751,303
full employment,750,224
press conference,750,118
across the,750,355
beginning of,750,357
right panel,750,156
consumer confidence,750,334
a somewhat,750,371
in core,749,312
house prices,749,226
the blue,748,219
period the,748,439
rate the,748,398
reports of,748,275
costs and,747,348
reported that,747,307
in coming,747,395
of other,747,392
of credit,746,303
rates of,746,390
to decline,745,389
quite a,744,306
balance sheets,744,328
would likely,742,348
prospects for,742,396
risks are,742,283
a policy,740,324
based measures,740,243
the zero,739,175
fixed investment,739,387
sales and,738,341
point i,738,312
is really,737,296
growth to,736,275
low levels,736,368
economy has,736,287
very important,735,274
come in,735,306
data that,735,324
growth the,734,362
in business,734,348
the projection,733,328
the september,732,213
president fisher,732,153
the yield,732,246
industrial production,730,363
market expectations,729,295
the black,728,150
to add,728,327
several years,727,317
time in,727,361
things that,726,275
the word,726,199
a sense,725,301
a period,724,348
investment and,723,356
capital goods,723,367
fiscal stimulus,722,237
inflationary pressures,722,365
equipment and,721,338
emerging market,721,306
the stance,720,415
clear that,720,293
in productivity,720,271
a range,720,353
and core,719,313
along the,718,296
rates are,718,281
the state,716,282
lack of,716,298
above percent,716,296
a gradual,715,335
weaker than,714,344
the probability,713,293
parts of,713,361
most likely,713,407
a much,712,333
point that,712,293
more of,712,288
we look,711,301
low and,710,348
to begin,709,331
to talk,708,271
potential output,708,315
maximum employment,707,319
year as,706,330
observed that,706,238
today s,705,287
several participants,705,167
seemed to,704,386
president rosengren,704,197
central banks,704,286
oil and,702,308
rate that,702,336
people have,702,269
economy in,702,351
the timing,702,360
the latest,702,300
before we,701,287
a basis,701,225
point in,700,332
a relatively,700,371
supported by,699,363
last time,698,285
a better,697,324
like that,697,276
to expect,697,330
the cost,697,298
the recession,697,214
moderate pace,696,369
an annual,696,248
and price,694,395
reduce the,694,337
line in,694,166
year but,693,329
confidence in,693,297
about percentage,692,235
on average,692,356
to tighten,692,318
unemployment and,691,307
percent objective,691,285
than percent,691,260
are seeing,690,251
goods and,690,360
into account,690,366
a decline,689,367
time the,689,357
of next,688,251
expectations for,688,349
and energy,688,359
probability of,688,286
given that,687,285
price pressures,687,308
year or,687,296
come to,687,291
price index,684,347
slack in,683,305
foreign economies,683,337
the change,682,332
acceleration in,682,283
of gdp,681,256
the implications,679,371
three years,679,262
i understand,679,267
rate has,678,258
mortgage rates,678,318
we go,677,283
some participants,675,202
to run,674,334
get the,674,298
market based,674,279
of longer,674,346
potential for,673,364
much as,673,314
something like,673,268
motor vehicles,672,310
survey of,672,316
the need,672,387
inflation over,672,376
purchase program,671,145
to start,671,293
off the,671,275
rate for,671,352
the sense,670,295
to slow,670,348
energy and,670,289
upward pressure,669,333
time we,669,301
in housing,669,273
a different,669,291
outlook is,669,273
next two,668,270
to date,668,326
recovery in,668,300
to work,667,290
are more,665,295
of higher,665,324
after a,665,365
business fixed,665,365
was percent,665,278
in most,665,374
president plosser,664,131
is probably,664,304
the foreign,664,347
inflation target,664,187
go round,663,211
percent this,663,244
expectations are,663,262
black line,663,134
year over,663,268
share of,662,305
is consistent,661,279
under the,661,291
last week,661,256
the press,660,226
to find,658,297
get to,657,263
of price,656,329
spending on,655,297
in manufacturing,654,308
although i,654,281
case for,653,291
agree that,652,284
the key,652,299
real economy,651,252
the system,651,405
though the,651,367
our own,650,262
rate was,649,371
well i,649,283
to show,648,317
policy actions,648,341
within the,648,326
the course,648,354
