date,section_group,n_transcript_sentences,n_minutes_sentences,semantic_recall,semantic_precision
19980818,POLICY,233,27,0.43338293,0.59722877
19980929,POLICY,684,22,0.38294482,0.6669275
19981117,POLICY,247,24,0.42848295,0.6299884
19981222,POLICY,500,18,0.36159497,0.5815737
19990203,POLICY,683,12,0.3530505,0.58639127
19990330,POLICY,325,18,0.41207328,0.6035649
19990518,POLICY,320,14,0.42353076,0.653655
19990630,POLICY,835,24,0.39421526,0.6251711
19990824,POLICY,327,14,0.38078067,0.60854393
19991005,POLICY,648,16,0.3621848,0.6241684
19991116,POLICY,734,14,0.35475314,0.6482044
19991221,POLICY,767,14,0.34930906,0.6193538
20000202,POLICY,581,24,0.38800243,0.5819423
20000321,POLICY,266,11,0.37917843,0.6216112
20000516,POLICY,322,17,0.40106058,0.55742145
20000628,POLICY,809,11,0.35780606,0.58885044
20000822,POLICY,302,10,0.3982721,0.63177747
20001003,POLICY,322,9,0.32634,0.59629107
20001115,POLICY,345,15,0.41999313,0.6449722
20001219,POLICY,302,16,0.38823608,0.61991686
20010131,POLICY,293,11,0.36147255,0.59785193
20010320,POLICY,425,16,0.3793117,0.60523635
20010515,POLICY,414,18,0.39570257,0.6216605
20010627,POLICY,409,22,0.4072146,0.6068499
20010821,POLICY,331,15,0.38448557,0.56596065
20011002,POLICY,176,10,0.35702398,0.62821597
20011106,POLICY,477,19,0.36182857,0.60333395
20011211,POLICY,455,19,0.38620016,0.6004221
20020130,POLICY,577,13,0.3323655,0.6158367
20020319,POLICY,471,13,0.3477581,0.6034856
20020507,POLICY,223,9,0.35402533,0.5780914
20020626,POLICY,357,14,0.32937455,0.59466803
20020813,POLICY,331,9,0.36559105,0.60026664
20020924,POLICY,480,17,0.35730183,0.56061864
20021106,POLICY,556,17,0.36702055,0.6177805
20021210,POLICY,129,8,0.32773265,0.5509956
20030129,POLICY,164,8,0.33038116,0.50376415
20030318,POLICY,314,11,0.32505962,0.5580747
20030506,POLICY,529,20,0.3565821,0.5333563
20030625,POLICY,459,27,0.3922439,0.599294
20030812,POLICY,84,13,0.26180807,0.45521134
20030916,POLICY,342,15,0.37202373,0.62005323
20031028,POLICY,648,12,0.30614144,0.61436194
20031209,POLICY,572,17,0.3559462,0.5860219
20040128,POLICY,424,11,0.3329851,0.58948314
20040316,POLICY,313,16,0.38423032,0.59460795
20040504,POLICY,459,17,0.3626727,0.61994135
20040630,POLICY,233,13,0.35188589,0.5594777
20040810,POLICY,384,11,0.3276576,0.6422435
20040921,POLICY,178,13,0.342663,0.57887834
20041110,POLICY,326,13,0.36544225,0.5661316
20041214,POLICY,194,11,0.27263185,0.47526324
20050202,POLICY,234,9,0.32656932,0.6011546
20050322,POLICY,479,17,0.37194735,0.63256204
20050503,POLICY,490,15,0.3522912,0.5860456
20050630,POLICY,183,14,0.3661776,0.5675549
20050920,POLICY,283,12,0.34394282,0.5881719
20051101,POLICY,358,16,0.36717865,0.59083444
20060131,POLICY,182,9,0.3232752,0.56883866
20060328,POLICY,810,18,0.382558,0.6517243
20060510,POLICY,529,12,0.3175124,0.51019126
20060629,POLICY,750,10,0.3545949,0.5909262
20060808,POLICY,1054,14,0.33442044,0.60629225
20060920,POLICY,380,14,0.38819066,0.61024207
20061025,POLICY,1654,11,0.3286122,0.61378855
20070131,POLICY,1947,12,0.31602976,0.605968
20070321,POLICY,1684,10,0.3149578,0.6448564
20070509,POLICY,563,9,0.32339147,0.63340014
20070628,POLICY,1897,23,0.29686555,0.6086845
20070807,POLICY,452,14,0.37224302,0.6186344
20070918,POLICY,1148,14,0.32795462,0.6126741
20071031,POLICY,912,22,0.3902092,0.6247149
20071211,POLICY,532,35,0.40816984,0.5515447
20080130,POLICY,1458,21,0.35101393,0.64292
20080318,POLICY,532,23,0.37109387,0.62178916
20080430,POLICY,1672,23,0.36403692,0.6292242
20080625,POLICY,1688,19,0.3200748,0.5944172
20080805,POLICY,421,13,0.36806569,0.5460044
20080916,POLICY,968,9,0.3408459,0.6297838
20081029,POLICY,667,9,0.33806503,0.6012212
20081216,POLICY,1236,22,0.36695623,0.68527246
20090128,POLICY,766,17,0.34090638,0.64374423
20090318,POLICY,803,15,0.31806472,0.62082773
20090429,POLICY,875,7,0.30803272,0.6781478
20090624,POLICY,515,8,0.3133645,0.6155493
20090812,POLICY,516,8,0.31605938,0.655359
20090923,POLICY,748,13,0.3188354,0.6140006
20091104,POLICY,807,16,0.3468196,0.60804594
20091216,POLICY,1246,14,0.3272848,0.6573725
20100127,POLICY,658,22,0.35920623,0.6656172
20100316,POLICY,544,16,0.35319966,0.6146826
20100428,POLICY,494,13,0.3605137,0.61362267
20100623,POLICY,599,12,0.33870405,0.6228345
20100810,POLICY,810,24,0.3799433,0.6466449
20100921,POLICY,762,18,0.36373538,0.5961339
20101103,POLICY,1426,17,0.34723356,0.63393795
20101214,POLICY,482,18,0.3749476,0.5969506
20120125,POLICY,1153,22,0.36627772,0.6469646
20120313,POLICY,1415,20,0.35111195,0.6344384
20120425,POLICY,938,29,0.3734756,0.6429164
20120620,POLICY,936,32,0.36755863,0.61913943
20120801,POLICY,1654,24,0.35646906,0.6042551
20120913,POLICY,1675,21,0.34589702,0.6434411
20121024,POLICY,1333,16,0.32331994,0.6058212
20121212,POLICY,1294,26,0.40130073,0.6576078
20130130,POLICY,1714,19,0.3337822,0.64402544
20130320,POLICY,922,20,0.35347438,0.6239883
20130501,POLICY,1657,17,0.33382186,0.6080206
20130619,POLICY,1069,26,0.3537625,0.6179168
20130731,POLICY,1434,24,0.36428028,0.6527865
20130918,POLICY,1073,25,0.36837795,0.6722071
20131030,POLICY,637,24,0.37583214,0.57811385
20131218,POLICY,1013,29,0.37807274,0.637171
20140129,POLICY,682,22,0.35779002,0.6373157
20140319,POLICY,851,30,0.3656122,0.62619275
20140430,POLICY,392,15,0.30976242,0.60629684
20140618,POLICY,581,18,0.33100745,0.60717416
20140730,POLICY,756,22,0.35556448,0.6229843
20140917,POLICY,810,24,0.34557873,0.65692955
20141029,POLICY,1290,26,0.36874142,0.648214
20141217,POLICY,871,28,0.3633317,0.616814
20150128,POLICY,392,21,0.31073534,0.58884144
20150318,POLICY,647,22,0.3533119,0.60032266
20150429,POLICY,728,24,0.3435372,0.62407917
20150617,POLICY,923,32,0.35192302,0.6370162
20150729,POLICY,635,30,0.39000475,0.63952816
20150917,POLICY,916,33,0.39541703,0.63934195
20151028,POLICY,1027,34,0.34609303,0.6275983
20151216,POLICY,631,32,0.40101227,0.6421503
20160127,POLICY,1056,18,0.32393548,0.6107657
20160316,POLICY,657,26,0.37056717,0.611617
20160427,POLICY,404,28,0.3857384,0.58471256
20160615,POLICY,727,32,0.37331122,0.59321845
20160727,POLICY,621,38,0.39347732,0.5903074
20160921,POLICY,754,36,0.40074655,0.6211221
20161102,POLICY,420,27,0.384303,0.6014629
20161214,POLICY,566,25,0.37421337,0.6064842
20170201,POLICY,445,24,0.36500144,0.6073541
20170315,POLICY,759,34,0.38206938,0.6314334
20170503,POLICY,1094,23,0.3618454,0.64051485
20170614,POLICY,697,24,0.37215143,0.6186593
20170726,POLICY,460,20,0.37603682,0.59370553
20170920,POLICY,678,20,0.34558007,0.6144182
20171101,POLICY,601,23,0.3930747,0.6057879
20171213,POLICY,490,20,0.38479444,0.6069894
20180131,POLICY,783,23,0.34514764,0.6476506
20180321,POLICY,484,22,0.38236773,0.6377216
20180502,POLICY,609,20,0.3741692,0.6203526
20180613,POLICY,623,17,0.3613066,0.6251129
20180801,POLICY,510,13,0.34538653,0.6027167
20180926,POLICY,475,14,0.38258415,0.6073145
20181108,POLICY,494,14,0.35736337,0.61485827
20181219,POLICY,659,14,0.3383332,0.6017694
20190130,POLICY,553,18,0.36475056,0.6039692
20190320,POLICY,701,18,0.3306838,0.6178193
20190501,POLICY,519,18,0.36116996,0.6406468
20190619,POLICY,520,13,0.3671755,0.6026786
20190731,POLICY,894,19,0.3647011,0.6796199
20190918,POLICY,682,19,0.36407286,0.6063266
20191030,POLICY,383,17,0.37559482,0.62301856
20191211,POLICY,594,16,0.37579894,0.6465892
20200129,POLICY,434,12,0.33663708,0.5929779
